LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/8/2021;"22";"19";"27";"18";"77";"18";"7";"13";"0";"1005";"0";"0";"pioggia temporale "
Milano;2/8/2021;"22";"16";"27";"16";"72";"20";"7";"15";"0";"1012";"0";"0";"pioggia temporale "
Milano;3/8/2021;"22";"18";"27";"16";"70";"21";"6";"13";"0";"1014";"0";"0";""
Milano;4/8/2021;"22";"19";"23";"18";"81";"18";"8";"15";"0";"1011";"0";"0";"pioggia "
Milano;5/8/2021;"23";"17";"29";"16";"71";"19";"9";"15";"0";"1007";"0";"0";"pioggia temporale "
Milano;6/8/2021;"24";"17";"30";"17";"63";"20";"6";"11";"0";"1007";"0";"0";""
Milano;7/8/2021;"24";"20";"28";"18";"69";"18";"7";"18";"0";"1008";"0";"0";""
Milano;8/8/2021;"25";"19";"30";"19";"70";"21";"4";"11";"0";"1010";"0";"0";""
Milano;9/8/2021;"25";"17";"31";"17";"62";"21";"5";"9";"0";"1016";"0";"0";""
Milano;10/8/2021;"25";"19";"31";"18";"68";"19";"5";"9";"0";"1017";"0";"0";""
Milano;11/8/2021;"26";"19";"33";"19";"69";"19";"4";"8";"0";"1016";"0";"0";""
Milano;12/8/2021;"27";"20";"34";"19";"65";"20";"5";"11";"0";"1019";"0";"0";""
Milano;13/8/2021;"29";"23";"35";"20";"63";"19";"5";"11";"0";"1020";"0";"0";""
Milano;14/8/2021;"29";"21";"35";"20";"62";"19";"5";"9";"0";"1019";"0";"0";""
Milano;15/8/2021;"29";"22";"35";"20";"61";"20";"5";"9";"0";"1014";"0";"0";""
Milano;16/8/2021;"26";"21";"32";"19";"64";"20";"7";"17";"0";"1009";"0";"0";"pioggia temporale "
Milano;17/8/2021;"24";"18";"30";"13";"55";"19";"9";"21";"0";"1011";"0";"0";""
Milano;18/8/2021;"24";"20";"28";"14";"54";"19";"10";"13";"0";"1014";"0";"0";""
Milano;19/8/2021;"24";"20";"28";"14";"57";"21";"8";"13";"0";"1014";"0";"0";""
Milano;20/8/2021;"25";"19";"30";"15";"57";"20";"6";"11";"0";"1015";"0";"0";""
Milano;21/8/2021;"26";"19";"32";"16";"60";"20";"5";"8";"0";"1017";"0";"0";""
Milano;22/8/2021;"26";"19";"31";"17";"61";"19";"6";"11";"0";"1016";"0";"0";""
Milano;23/8/2021;"24";"20";"29";"19";"71";"21";"13";"24";"0";"1014";"0";"0";""
Milano;24/8/2021;"24";"18";"29";"15";"62";"19";"7";"17";"0";"1015";"0";"0";""
Milano;25/8/2021;"22";"19";"28";"15";"64";"20";"7";"11";"0";"1015";"0";"0";""
Milano;26/8/2021;"23";"16";"30";"15";"61";"21";"7";"13";"0";"1010";"0";"0";""
Milano;27/8/2021;"21";"18";"23";"15";"72";"20";"14";"22";"0";"1009";"0";"0";""
Milano;28/8/2021;"21";"18";"25";"12";"58";"21";"8";"15";"0";"1012";"0";"0";"pioggia "
Milano;29/8/2021;"21";"14";"26";"11";"59";"20";"7";"15";"0";"1012";"0";"0";""
Milano;30/8/2021;"21";"17";"27";"13";"59";"20";"7";"13";"0";"1012";"0";"0";""
Milano;31/8/2021;"21";"18";"27";"14";"66";"19";"7";"13";"0";"1016";"0";"0";"pioggia temporale "
